year,stateobs,state,births,lnbirths,population,lnpopulation,workforce,infrastructure,economy,qualityoflife,costofdoingbusiness,technology,businessfriendliness,education,accesstocapital,costofliving,overallrank,workforce_l1,infrastructure_l1,economy_l1,qualityoflife_l1,costofdoingbusiness_l1,technology_l1,businessfriendliness_l1,education_l1,accesstocapital_l1,costofliving_l1,overallrank_l1,population_l1,lag_lnpopulation
2007,1,Alabama,10761,9.283683776855469,4.67284,1.5417670011520386,31,7,13,43,16,39,33,48,36,8,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,1,Alabama,9478,9.156728744506836,4.718206,1.5514286756515503,22,43,23,45,19,39,39,47,31,11,42,31,7,13,43,16,39,33,48,36,8,37,4.672840118408203,1.5417670011520386
2009,1,Alabama,8421,9.038483619689941,4.757938,1.5598143339157104,14,26,33,47,18,30,34,37,31,9,39,22,43,23,45,19,39,39,47,31,11,42,4.71820592880249,1.5514286756515503
2010,1,Alabama,8935,9.097731590270996,4.785437,1.5655773878097534,14,27,40,48,14,30,32,42,40,11,43,14,26,33,47,18,30,34,37,31,9,39,4.757937908172607,1.5598143339157104
2011,1,Alabama,9292,9.136909484863281,4.799069,1.5684219598770142,16,24,39,49,16,33,29,44,35,11,41,14,27,40,48,14,30,32,42,40,11,43,4.785437107086182,1.5655773878097534
2012,1,Alabama,9403,9.148783683776855,4.815588,1.5718581676483154,26,29,6,47,20,35,30,43,41,13,38,16,24,39,49,16,33,29,44,35,11,41,4.799068927764893,1.5684219598770142
2013,1,Alabama,9396,9.148039817810059,4.830081,1.5748631954193115,25,NA,40,45,6,34,37,36,39,13,33,26,29,6,47,20,35,30,43,41,13,38,4.815587997436523,1.5718581676483154
2014,1,Alabama,9158,9.122383117675781,4.841799,1.5772863626480103,20,NA,40,46,4,31,38,47,45,7,34,25,NA,40,45,6,34,37,36,39,13,33,4.830080986022949,1.5748631954193115
2015,1,Alabama,9484,9.157361030578613,4.852347,1.5794625282287598,32,NA,44,42,19,30,28,46,20,10,41,20,NA,40,46,4,31,38,47,45,7,34,4.841798782348633,1.5772863626480103
2016,1,Alabama,9840,9.19421100616455,4.863525,1.581763505935669,38,21,48,43,17,36,30,46,16,4,38,32,NA,44,42,19,30,28,46,20,10,41,4.852346897125244,1.5794625282287598
2017,1,Alabama,10052,9.215526580810547,4.874486,1.584014654159546,36,18,26,50,7,31,33,47,29,12,37,38,21,48,43,17,36,30,46,16,4,38,4.863524913787842,1.581763505935669
2018,1,Alabama,10129,9.22315788269043,4.887681,1.586717963218689,36,18,37,48,26,34,36,47,30,8,41,36,18,26,50,7,31,33,47,29,12,37,4.874485969543457,1.584014654159546
2019,1,Alabama,11620,9.360483169555664,4.903185,1.5898849964141846,35,10,27,49,22,34,37,37,30,6,37,36,18,37,48,26,34,36,47,30,8,41,4.887681007385254,1.586717963218689
2021,1,Alabama,15073,9.620660781860352,5.05038,1.6194634437561035,35,NA,29,44,22,33,19,34,25,6,31,35,10,27,49,22,34,37,37,30,6,37,NA,NA
2022,1,Alabama,19289,9.867290496826172,5.073903,1.6241103410720825,13,38,27,38,24,21,25,34,34,3,33,35,NA,29,44,22,33,19,34,25,6,31,5.050380229949951,1.6194634437561035
2007,2,Alaska,1917,7.558516979217529,0.6803,-0.385221391916275,43,48,50,35,37,42,48,40,48,47,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,2,Alaska,1983,7.5923662185668945,0.687455,-0.37475889921188354,42,50,50,35,38,42,35,41,49,47,50,43,48,50,35,37,42,48,40,48,47,50,0.6802999973297119,-0.385221391916275
2009,2,Alaska,1922,7.561121463775635,0.698895,-0.3582547605037689,49,50,47,38,44,46,37,43,36,47,50,42,50,50,35,38,42,35,41,49,47,50,0.6874549984931946,-0.37475889921188354
2010,2,Alaska,1833,7.51370906829834,0.71391,-0.3369983732700348,45,50,41,26,46,41,44,45,40,47,50,49,50,47,38,44,46,37,43,36,47,50,0.6988949775695801,-0.3582547605037689
2011,2,Alaska,1942,7.571473598480225,0.722128,-0.32555288076400757,48,47,3,21,49,43,34,41,35,49,49,45,50,41,26,46,41,44,45,40,47,50,0.7139099836349487,-0.3369983732700348
2012,2,Alaska,2005,7.603399276733398,0.730443,-0.3141040802001953,30,37,4,26,44,50,39,32,48,49,47,48,47,3,21,49,43,34,41,35,49,49,0.7221279740333557,-0.32555288076400757
2013,2,Alaska,1835,7.51479959487915,0.737068,-0.30507513880729675,36,NA,23,35,25,50,10,35,39,49,44,30,37,4,26,44,50,39,32,48,49,47,0.730443000793457,-0.3141040802001953
2014,2,Alaska,1907,7.553286552429199,0.736283,-0.3061407208442688,27,NA,50,30,39,42,10,30,21,46,47,36,NA,23,35,25,50,10,35,39,49,44,0.7370679974555969,-0.30507513880729675
2015,2,Alaska,1928,7.564238548278809,0.737498,-0.30449190735816956,9,NA,49,27,41,47,10,36,35,47,47,27,NA,50,30,39,42,10,30,21,46,47,0.736283004283905,-0.3061407208442688
2016,2,Alaska,1836,7.515344619750977,0.741456,-0.29913946986198425,38,37,41,20,41,41,25,37,36,45,45,9,NA,49,27,41,47,10,36,35,47,47,0.7374979853630066,-0.30449190735816956
2017,2,Alaska,1966,7.583756446838379,0.7397,-0.3015105724334717,25,35,48,22,42,41,20,42,49,46,47,38,37,41,20,41,41,25,37,36,45,45,0.7414559721946716,-0.29913946986198425
2018,2,Alaska,1904,7.5517120361328125,0.735139,-0.3076956868171692,33,34,50,25,47,45,14,45,49,46,50,25,35,48,22,42,41,20,42,49,46,47,0.7397000193595886,-0.3015105724334717
2019,2,Alaska,1975,7.588323593139648,0.731545,-0.31259652972221375,27,46,38,23,48,41,20,49,50,44,47,33,34,50,25,47,45,14,45,49,46,50,0.735139012336731,-0.3076956868171692
2021,2,Alaska,2852,7.955775737762451,0.734923,-0.30798953771591187,27,NA,47,19,48,39,16,47,46,45,50,27,46,38,23,48,41,20,49,50,44,47,NA,NA
2022,2,Alaska,2886,7.967626571655273,0.733276,-0.31023311614990234,34,50,38,11,46,50,12,49,49,45,49,27,NA,47,19,48,39,16,47,46,45,50,0.7349230051040649,-0.30798953771591187
2007,3,Arizona,18270,9.813015937805176,6.167681,1.819322943687439,5,6,10,37,23,20,6,43,20,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,Arizona,16368,9.703083038330078,6.280362,1.8374276161193848,6,25,8,36,23,19,6,43,18,35,12,5,6,10,37,23,20,6,43,20,34,10,6.1676812171936035,1.819322943687439
2009,3,Arizona,15554,9.65207290649414,6.343154,1.8473761081695557,4,25,33,35,23,20,7,45,22,34,18,6,25,8,36,23,19,6,43,18,35,12,6.280362129211426,1.8374276161193848
2010,3,Arizona,14729,9.597573280334473,6.407172,1.8574179410934448,2,23,41,29,23,19,5,45,25,34,18,4,25,33,35,23,20,7,45,22,34,18,6.343153953552246,1.8473761081695557
2011,3,Arizona,14984,9.614738464355469,6.472643,1.867584466934204,1,10,44,35,38,18,13,49,18,36,24,2,23,41,29,23,19,5,45,25,34,18,6.407172203063965,1.8574179410934448
2012,3,Arizona,15290,9.634954452514648,6.554978,1.8802247047424316,2,9,44,32,34,21,14,49,22,34,22,1,10,44,35,38,18,13,49,18,36,24,6.47264289855957,1.867584466934204
2013,3,Arizona,14779,9.60096263885498,6.632764,1.892021656036377,2,NA,43,29,31,19,16,49,33,35,20,2,9,44,32,34,21,14,49,22,34,22,6.554977893829346,1.8802247047424316
2014,3,Arizona,15314,9.63652229309082,6.730413,1.9066364765167236,2,NA,15,27,28,19,16,50,5,27,13,2,NA,43,29,31,19,16,49,33,35,20,6.632763862609863,1.892021656036377
2015,3,Arizona,17521,9.77115535736084,6.829676,1.9212772846221924,14,NA,36,31,40,24,13,49,25,28,34,2,NA,15,27,28,19,16,50,5,27,13,6.73041296005249,1.9066364765167236
2016,3,Arizona,17126,9.748353004455566,6.941072,1.9374562501907349,5,16,15,32,40,22,8,47,28,31,25,14,NA,36,31,40,24,13,49,25,28,34,6.829676151275635,1.9212772846221924
2017,3,Arizona,17779,9.785773277282715,7.044008,1.9521772861480713,7,14,19,31,37,24,14,49,18,25,26,5,16,15,32,40,22,8,47,28,31,25,6.9410719871521,1.9374562501907349
2018,3,Arizona,17858,9.7902069091796875,7.158024,1.9682339429855347,8,16,10,36,39,23,11,48,20,20,20,7,14,19,31,37,24,14,49,18,25,26,7.044007778167725,1.9521772861480713
2019,3,Arizona,19151,9.86011028289795,7.278717,1.984954595565796,2,13,12,37,41,23,9,47,18,24,20,8,16,10,36,39,23,11,48,20,20,20,7.158023834228516,1.9682339429855347
2021,3,Arizona,25855,10.160259246826172,7.272487,1.9840983152389526,5,NA,14,50,37,27,7,41,26,31,30,2,13,12,37,41,23,9,47,18,24,20,NA,NA
2022,3,Arizona,27937,10.237707138061523,7.365684,1.9968318939208984,7,6,22,50,35,29,4,42,41,33,34,5,NA,14,50,37,27,7,41,26,31,30,7.272487163543701,1.9840983152389526
2007,4,Arkansas,7876,8.971575736999512,2.84865,1.0468451976776123,4,44,41,49,4,43,40,40,34,2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,Arkansas,8552,9.05392074584961,2.874554,1.0558974742889404,9,36,33,47,3,43,35,33,47,6,32,4,44,41,49,4,43,40,40,34,2,36,2.8486499786376953,1.0468451976776123
2009,4,Arkansas,7414,8.911125183105469,2.896843,1.0636215209960938,11,33,19,44,3,44,32,32,36,1,31,9,36,33,47,3,43,35,33,47,6,32,2.874553918838501,1.0558974742889404
2010,4,Arkansas,6733,8.814776420593262,2.921964,1.0722559690475464,11,36,27,43,2,44,39,33,40,3,32,11,33,19,44,3,44,32,32,36,1,31,2.8968429565429688,1.0636215209960938
2011,4,Arkansas,8675,9.068201065063477,2.940667,1.0786364078521729,10,40,9,45,1,44,44,31,35,4,32,11,36,27,43,2,44,39,33,40,3,32,2.921963930130005,1.0722559690475464
2012,4,Arkansas,7531,8.926783561706543,2.952164,1.0825384855270386,11,31,20,43,2,41,32,28,40,5,20,10,40,9,45,1,44,44,31,35,4,32,2.940666913986206,1.0786364078521729
2013,4,Arkansas,7233,8.886408805847168,2.9594,1.0849865674972534,7,NA,18,40,4,38,43,15,37,7,24,11,31,20,43,2,41,32,28,40,5,20,2.9521639347076416,1.0825384855270386
2014,4,Arkansas,7002,8.853951454162598,2.967392,1.0876834392547607,19,NA,25,41,2,44,45,37,39,2,30,7,NA,18,40,4,38,43,15,37,7,24,2.959399938583374,1.0849865674972534
2015,4,Arkansas,7963,8.982561111450195,2.978048,1.0912680625915527,12,NA,16,44,4,46,37,35,38,11,32,19,NA,25,41,2,44,45,37,39,2,30,2.9673919677734375,1.0876834392547607
2016,4,Arkansas,7696,8.948455810546875,2.989918,1.0952459573745728,34,21,32,50,9,47,42,36,39,3,41,12,NA,16,44,4,46,37,35,38,11,32,2.978048086166382,1.0912680625915527
2017,4,Arkansas,7624,8.939056396484375,3.001345,1.0990605354309082,37,12,32,47,7,48,39,38,32,4,41,34,21,32,50,9,47,42,36,39,3,41,2.9899179935455322,1.0952459573745728
2018,4,Arkansas,7959,8.98205852508545,3.009733,1.1018513441085815,43,12,39,50,1,47,40,42,36,2,40,37,12,32,47,7,48,39,38,32,4,41,3.001344919204712,1.0990605354309082
2019,4,Arkansas,8130,9.003315925598145,3.017804,1.1045293807983398,39,20,36,50,3,44,37,41,33,3,42,43,12,39,50,1,47,40,42,36,2,40,3.009732961654663,1.1018513441085815
2021,4,Arkansas,10259,9.235910415649414,3.028443,1.108048677444458,42,NA,24,43,4,42,34,43,37,4,43,39,20,36,50,3,44,37,41,33,3,42,NA,NA
2022,4,Arkansas,12488,9.432523727416992,3.046404,1.113961935043335,38,30,24,37,13,40,29,37,20,10,41,42,NA,24,43,4,42,34,43,37,4,43,3.0284430980682373,1.108048677444458
2007,5,California,165754,12.01826000213623,36.250311,3.5904479026794434,33,19,6,9,48,1,48,31,1,49,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,California,164920,12.013216018676758,36.604337,3.6001667976379395,21,16,7,4,48,1,48,31,1,49,25,33,19,6,9,48,1,48,31,1,49,28,36.25031280517578,3.5904479026794434
2009,5,California,148476,11.908178329467773,36.961229,3.6098694801330566,23,15,12,19,49,1,49,31,1,49,32,21,16,7,4,48,1,48,31,1,49,25,36.60433578491211,3.6001667976379395
2010,5,California,136779,11.82612133026123,37.319502,3.619516134262085,31,16,18,15,48,1,49,31,1,49,32,23,15,12,19,49,1,49,31,1,49,32,36.96122741699219,3.6098694801330566
2011,5,California,136507,11.82413101196289,37.638369,3.628024101257324,29,7,30,22,47,1,50,36,1,48,32,31,16,18,15,48,1,49,31,1,49,32,37.31950378417969,3.619516134262085
2012,5,California,166784,12.024455070495605,37.9488,3.636237859725952,23,30,43,20,48,3,43,33,1,46,40,29,7,30,22,47,1,50,36,1,48,32,37.63836669921875,3.628024101257324
2013,5,California,153601,11.942113876342773,38.260787,3.644425630569458,34,NA,35,27,50,2,48,43,1,45,47,23,30,43,20,48,3,43,33,1,46,40,37.94879913330078,3.636237859725952
2014,5,California,158326,11.972411155700684,38.596972,3.6531739234924316,36,NA,9,23,48,1,48,26,1,47,32,34,NA,35,27,50,2,48,43,1,45,47,38.26078796386719,3.644425630569458
2015,5,California,172948,12.060746192932129,38.918045,3.6614580154418945,26,NA,7,15,49,2,50,32,1,46,27,36,NA,9,23,48,1,48,26,1,47,32,38.59697341918945,3.6531739234924316
2016,5,California,177137,12.084678649902344,39.167117,3.667837619781494,21,33,8,23,49,2,50,38,2,47,32,26,NA,7,15,49,2,50,32,1,46,27,38.91804504394531,3.6614580154418945
2017,5,California,183623,12.12063980102539,39.358497,3.6727118492126465,10,22,22,21,49,2,50,28,1,48,28,21,33,8,23,49,2,50,38,2,47,32,39.1671142578125,3.667837619781494
2018,5,California,181547,12.109270095825195,39.461588,3.675327777862549,12,24,11,21,48,1,50,32,1,49,25,10,22,22,21,49,2,50,28,1,48,28,39.358497619628906,3.6727118492126465
2019,5,California,184024,12.122821807861328,39.512223,3.676609992980957,10,33,19,17,50,1,50,30,1,49,32,12,24,11,21,48,1,50,32,1,49,25,39.46158981323242,3.675327777862549
2021,5,California,212102,12.264822959899902,39.14506,3.667274236679077,4,NA,27,26,47,1,50,36,1,48,33,10,33,19,17,50,1,50,30,1,49,32,NA,NA
2022,5,California,214358,12.275403022766113,39.040616,3.664602518081665,16,25,17,26,48,1,48,11,1,48,29,4,NA,27,26,47,1,50,36,1,48,33,39.14506149291992,3.667274236679077
2007,6,Colorado,21214,9.962416648864746,4.803868,1.569421410560608,17,41,11,13,26,12,12,34,7,40,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,Colorado,19548,9.88062858581543,4.88973,1.5871371030807495,13,35,11,7,25,13,5,35,11,30,5,17,41,11,13,26,12,12,34,7,40,7,4.803867816925049,1.569421410560608
2009,6,Colorado,16572,9.7154693603515625,4.972195,1.6038614511489868,12,36,5,10,22,11,5,33,9,32,3,13,35,11,7,25,13,5,35,11,30,5,4.889729976654053,1.5871371030807495
2010,6,Colorado,17064,9.744726181030273,5.047349,1.6188631057739258,10,36,8,2,25,12,4,29,15,35,3,12,36,5,10,22,11,5,33,9,32,3,4.972195148468018,1.6038614511489868
2011,6,Colorado,17273,9.7568998336792,5.121108,1.6333708763122559,7,26,26,7,30,14,6,30,15,33,5,10,36,8,2,25,12,4,29,15,35,3,5.047348976135254,1.6188631057739258
2012,6,Colorado,18234,9.811042785644531,5.192647,1.647243618965149,5,23,33,8,40,8,8,27,4,33,8,7,26,26,7,30,14,6,30,15,33,5,5.121108055114746,1.6333708763122559
2013,6,Colorado,19147,9.859901428222656,5.269035,1.6618472337722778,10,NA,7,15,37,8,17,15,11,32,7,5,23,33,8,40,8,8,27,4,33,8,5.1926469802856445,1.647243618965149
2014,6,Colorado,20779,9.94169807434082,5.350101,1.6771154403686523,5,NA,8,12,35,9,16,28,1,34,8,10,NA,7,15,37,8,17,15,11,32,7,5.2690348625183105,1.6618472337722778
2015,6,Colorado,21218,9.962605476379395,5.450623,1.6957299709320068,16,NA,3,9,36,5,18,24,8,31,4,5,NA,8,12,35,9,16,28,1,34,8,5.350100994110107,1.6771154403686523
2016,6,Colorado,22982,10.042466163635254,5.5392150000000004,1.711852788925171,1,29,2,12,37,8,9,25,8,32,3,16,NA,3,9,36,5,18,24,8,31,4,5.450623035430908,1.6957299709320068
2017,6,Colorado,22410,10.01726245880127,5.611885,1.7248866558074951,4,28,13,14,38,7,8,12,12,32,6,1,29,2,12,37,8,9,25,8,32,3,5.539215087890625,1.711852788925171
2018,6,Colorado,23300,10.056208610534668,5.691287,1.738936424255371,5,29,8,9,37,7,17,11,11,34,5,4,28,13,14,38,7,8,12,12,32,6,5.611885070800781,1.7248866558074951
2019,6,Colorado,25001,10.126670837402344,5.758736,1.7507179975509644,8,35,21,7,37,7,11,17,11,34,9,5,29,8,9,37,7,17,11,11,34,5,5.691287040710449,1.738936424255371
2021,6,Colorado,32682,10.394579887390137,5.811596,1.7598552703857422,2,NA,9,14,38,6,29,30,16,34,8,8,35,21,7,37,7,11,17,11,34,9,NA,NA
2022,6,Colorado,31712,10.364450454711914,5.841039,1.7649086713790894,1,16,11,12,36,9,16,11,22,34,4,2,NA,9,14,38,6,29,30,16,34,8,5.811595916748047,1.7598552703857422
2007,7,Connecticut,8775,9.079662322998047,3.52727,1.2605241537094116,44,45,20,4,47,15,16,3,17,43,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,Connecticut,8036,8.991686820983887,3.545579,1.2657015323638916,38,44,30,11,47,15,16,5,17,44,34,44,45,20,4,47,15,16,3,17,43,31,3.5272700786590576,1.2605241537094116
2009,7,Connecticut,7066,8.863049507141113,3.561807,1.2702679634094238,42,43,30,2,47,22,20,9,17,43,35,38,44,30,11,47,15,16,5,17,44,34,3.545578956604004,1.2657015323638916
2010,7,Connecticut,7492,8.921590805053711,3.579114,1.2751152515411377,40,40,32,9,47,17,23,8,8,45,35,42,43,30,2,47,22,20,9,17,43,35,3.5618069171905518,1.2702679634094238
2011,7,Connecticut,7913,8.976262092590332,3.588283,1.2776738405227661,33,43,44,11,45,19,40,3,17,47,39,40,40,32,9,47,17,23,8,8,45,35,3.5791139602661133,1.2751152515411377
2012,7,Connecticut,8414,9.037652015686035,3.594547,1.2794179916381836,40,43,40,12,46,18,33,2,15,48,44,33,43,44,11,45,19,40,3,17,47,39,3.588283061981201,1.2776738405227661
2013,7,Connecticut,8296,9.023529052734375,3.594841,1.2794997692108154,37,NA,39,17,43,21,26,5,19,48,45,40,43,40,12,46,18,33,2,15,48,44,3.5945470333099365,1.2794179916381836
2014,7,Connecticut,8310,9.025215148925781,3.594524,1.2794115543365479,32,NA,49,14,47,21,24,5,7,48,46,37,NA,39,17,43,21,26,5,19,48,45,3.5948410034179688,1.2794997692108154
2015,7,Connecticut,8747,9.076465606689453,3.587122,1.2773501873016357,4,NA,26,11,47,19,32,11,30,49,33,32,NA,49,14,47,21,24,5,7,48,46,3.5945239067077637,1.2794115543365479
2016,7,Connecticut,8327,9.02725887298584,3.578141,1.2748433351516724,18,47,43,25,47,19,29,18,25,46,43,4,NA,26,11,47,19,32,11,30,49,33,3.5871219635009766,1.2773501873016357
2017,7,Connecticut,8961,9.100637435913086,3.573297,1.2734886407852173,7,47,41,23,43,13,32,3,20,45,33,18,47,43,25,47,19,29,18,25,46,43,3.5781409740448,1.2748433351516724
2018,7,Connecticut,9129,9.119211196899414,3.57152,1.2729912996292114,16,47,45,22,46,17,26,9,18,43,37,7,47,41,23,43,13,32,3,20,45,33,3.5732970237731934,1.2734886407852173
2019,7,Connecticut,9208,9.127827644348145,3.565287,1.2712445259094238,15,43,43,20,43,18,21,8,20,43,35,16,47,45,22,46,17,26,9,18,43,37,3.5715200901031494,1.2729912996292114
2021,7,Connecticut,16828,9.730799674987793,3.603691,1.2819585800170898,15,NA,32,24,45,8,8,11,18,43,24,15,43,43,20,43,18,21,8,20,43,35,NA,NA
2022,7,Connecticut,16993,9.740556716918945,3.608706,1.2833492755889893,14,39,47,17,45,25,11,8,26,43,39,15,NA,32,24,45,8,8,11,18,43,24,3.6036911010742188,1.2819585800170898
2007,8,Delaware,2937,7.985144138336182,0.871749,-0.1372537463903427,20,39,14,43,31,28,1,28,39,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,Delaware,2953,7.99057674407959,0.883874,-0.12344075739383698,23,47,18,46,31,28,1,26,41,33,41,20,39,14,43,31,28,1,28,39,30,40,0.8717489838600159,-0.1372537463903427
2009,8,Delaware,2409,7.786966800689697,0.89173,-0.11459188163280487,19,45,41,45,37,32,1,21,35,29,42,23,47,18,46,31,28,1,26,41,33,41,0.8838739991188049,-0.12344075739383698
2010,8,Delaware,2732,7.912789344787598,0.899593,-0.10581284016370773,17,44,45,47,36,33,1,25,20,32,42,19,45,41,45,37,32,1,21,35,29,42,0.891730010509491,-0.11459188163280487
2011,8,Delaware,2830,7.948031902313232,0.907381,-0.09719285368919373,19,40,22,48,31,32,1,26,35,35,36,17,44,45,47,36,33,1,25,20,32,42,0.8995929956436157,-0.10581284016370773
2012,8,Delaware,3046,8.021584510803223,0.915179,-0.08863560110330582,36,27,19,49,32,40,19,31,30,37,43,19,40,22,48,31,32,1,26,35,35,36,0.907380998134613,-0.09719285368919373
2013,8,Delaware,2869,7.961719036102295,0.923576,-0.07950218766927719,30,NA,27,34,24,39,1,34,14,37,31,36,27,19,49,32,40,19,31,30,37,43,0.9151790142059326,-0.08863560110330582
2014,8,Delaware,3211,8.07433795928955,0.932487,-0.06990006566047668,34,NA,32,29,36,23,1,24,44,36,38,30,NA,27,34,24,39,1,34,14,37,31,0.9235759973526001,-0.07950218766927719
2015,8,Delaware,3127,8.047829627990723,0.941252,-0.06054437533020973,14,NA,26,30,38,22,4,38,47,37,38,34,NA,32,29,36,23,1,24,44,36,38,0.9324870109558105,-0.06990006566047668
2016,8,Delaware,3226,8.078998565673828,0.948921,-0.05242972820997238,13,36,26,28,38,27,11,45,46,48,37,14,NA,26,30,38,22,4,38,47,37,38,0.9412519931793213,-0.06054437533020973
2017,8,Delaware,3404,8.132706642150879,0.956823,-0.044136855751276016,15,36,39,37,40,18,22,36,38,33,40,13,36,26,28,38,27,11,45,46,48,37,0.9489210247993469,-0.05242972820997238
2018,8,Delaware,3554,8.17582893371582,0.965479,-0.035130929201841354,14,35,25,39,41,24,28,26,38,35,38,15,36,39,37,40,18,22,36,38,33,40,0.9568229913711548,-0.044136855751276016
2019,8,Delaware,3528,8.168486595153809,0.973764,-0.02658630535006523,24,31,24,30,38,23,33,35,35,35,38,14,35,25,39,41,24,28,26,38,35,38,0.9654790163040161,-0.035130929201841354
2021,8,Delaware,4591,8.431853294372559,1.004881,0.0048691267147660255,14,NA,8,35,34,20,13,39,38,35,27,24,31,24,30,38,23,33,35,35,35,38,NA,NA
2022,8,Delaware,5003,8.517792701721191,1.019459,0.01927209459245205,5,20,22,24,37,32,26,42,13,36,28,14,NA,8,35,34,20,13,39,38,35,27,1.0048810243606567,0.0048691267147660255
2007,9,Florida,78966,11.276772499084473,18.367842,2.9106013774871826,11,1,4,25,43,8,16,37,15,32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,9,Florida,72257,11.187984466552734,18.527305,2.919245481491089,1,18,20,23,42,9,16,39,9,34,17,11,1,4,25,43,8,16,37,15,32,8,18.367841720581055,2.9106013774871826
2009,9,Florida,65509,11.089942932128906,18.652644,2.925987958908081,3,18,43,27,43,15,26,40,12,40,28,1,18,20,23,42,9,16,39,9,34,17,18.52730369567871,2.919245481491089
2010,9,Florida,68341,11.132265090942383,18.845537,2.9362761974334717,1,21,48,31,41,13,23,35,17,30,28,3,18,43,27,43,15,26,40,12,40,28,18.65264320373535,2.925987958908081
2011,9,Florida,70840,11.168179512023926,19.053237,2.947237014770508,2,8,47,31,40,13,26,35,9,25,18,1,21,48,31,41,13,23,35,17,30,28,18.845535278320312,2.9362761974334717
2012,9,Florida,72047,11.185073852539062,19.297822,2.9599921703338623,3,11,47,30,39,11,27,42,24,25,29,2,8,47,31,40,13,26,35,9,25,18,19.05323600769043,2.947237014770508
2013,9,Florida,73326,11.202670097351074,19.545621,2.9727513790130615,4,NA,38,28,40,11,35,28,27,29,30,3,11,47,30,39,11,27,42,24,25,29,19.297822952270508,2.9599921703338623
2014,9,Florida,74744,11.221824645996094,19.845911,2.9879980087280273,3,NA,11,28,37,12,35,38,7,31,20,4,NA,38,28,40,11,35,28,27,29,30,19.54561996459961,2.9727513790130615
2015,9,Florida,79263,11.280527114868164,20.209042,3.0061302185058594,19,NA,11,32,31,17,27,26,15,27,16,3,NA,11,28,37,12,35,38,7,31,20,19.84591293334961,2.9879980087280273
2016,9,Florida,78887,11.275772094726562,20.613477,3.0259451866149902,14,10,4,26,32,17,22,26,14,28,10,19,NA,11,32,31,17,27,26,15,27,16,20.209041595458984,3.0061302185058594
2017,9,Florida,76343,11.24299144744873,20.963613,3.04278826713562,22,7,2,24,30,28,17,40,4,27,12,14,10,4,26,32,17,22,26,14,28,10,20.613475799560547,3.0259451866149902
2018,9,Florida,83992,11.33847713470459,21.244317,3.056089401245117,27,8,9,23,31,7,16,36,4,26,10,22,7,2,24,30,28,17,40,4,27,12,20.963611602783203,3.04278826713562
2019,9,Florida,89615,11.403278350830078,21.477737,3.067016839981079,15,12,10,24,29,20,12,39,4,30,12,27,8,9,23,31,7,16,36,4,26,10,21.24431610107422,3.056089401245117
2021,9,Florida,129016,11.767691612243652,21.830708,3.083317518234253,12,NA,11,40,32,28,37,27,5,28,17,15,12,10,24,29,20,12,39,4,30,12,NA,NA
2022,9,Florida,119823,11.693771362304688,22.245521,3.1021406650543213,6,13,4,39,30,16,39,19,22,27,11,12,NA,11,40,32,28,37,27,5,28,17,21.830707550048828,3.083317518234253
2007,10,Georgia,29729,10.299878120422363,9.349988,2.235375165939331,2,3,17,36,21,17,19,28,11,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,10,Georgia,27471,10.22088623046875,9.504843,2.2518014907836914,3,2,31,42,16,16,14,32,14,9,8,2,3,17,36,21,17,19,28,11,9,4,9.349987983703613,2.235375165939331
2009,10,Georgia,23368,10.059123039245605,9.620846,2.263932228088379,1,3,38,42,17,17,15,27,15,3,10,3,2,31,42,16,16,14,32,14,9,8,9.504842758178711,2.2518014907836914
2010,10,Georgia,25291,10.138203620910645,9.711881,2.2733500003814697,3,2,37,35,20,17,17,28,13,9,10,1,3,38,42,17,17,15,27,15,3,10,9.620845794677734,2.263932228088379
2011,10,Georgia,25365,10.141125679016113,9.802431,2.282630443572998,4,2,35,38,18,17,16,22,13,9,4,3,2,37,35,20,17,17,28,13,9,10,9.711880683898926,2.2733500003814697
2012,10,Georgia,26123,10.170571327209473,9.90143,2.2926793098449707,1,3,30,36,14,17,15,34,20,16,9,4,2,35,38,18,17,16,22,13,9,4,9.802431106567383,2.282630443572998
2013,10,Georgia,25750,10.156189918518066,9.972479,2.2998292446136475,1,NA,19,32,28,17,14,8,5,14,8,1,3,30,36,14,17,15,34,20,16,9,9.901430130004883,2.2926793098449707
2014,10,Georgia,27399,10.21826171875,10.067278,2.3092904090881348,1,NA,3,32,20,16,14,32,11,22,1,1,NA,19,32,28,17,14,8,5,14,8,9.972478866577148,2.2998292446136475
